,Critic_loss
413,2.531456470489502
414,2.233025312423706
415,2.231935739517212
416,2.3673410415649414
417,2.5201728343963623
418,2.311027765274048
419,2.4061365127563477
420,2.189408302307129
421,2.387073278427124
422,2.1969053745269775
423,2.607067108154297
424,2.4550838470458984
425,2.3718388080596924
426,2.574523448944092
427,2.506946325302124
428,2.8530337810516357
429,2.3558337688446045
430,2.303654193878174
431,2.4228291511535645
432,2.3103511333465576
433,2.392462730407715
434,2.4814445972442627
435,2.347651243209839
436,2.3013391494750977
437,2.558682441711426
438,2.3135201930999756
439,2.204537868499756
440,2.394428014755249
441,2.39133620262146
442,2.384096145629883
443,2.6139049530029297
444,2.3141393661499023
445,2.1799514293670654
446,2.373157501220703
447,2.5062239170074463
448,2.4012563228607178
449,2.342682361602783
450,2.647677183151245
451,2.2744288444519043
452,2.326115369796753
453,2.5344104766845703
454,2.456632137298584
455,2.355587959289551
456,2.446491003036499
457,2.281782865524292
458,2.3406455516815186
459,2.4328689575195312
460,2.4499003887176514
461,2.5481793880462646
462,2.382314682006836
463,2.502258539199829
464,2.3203699588775635
465,2.6488640308380127
466,2.3664114475250244
467,2.3452017307281494
468,2.498660087585449
469,2.477811098098755
470,2.1065571308135986
471,2.4188005924224854
472,2.4779112339019775
473,2.606354236602783
474,2.428046941757202
475,2.509880304336548
476,2.269263505935669
477,2.3376288414001465
478,2.4649715423583984
479,2.3073408603668213
480,2.464317560195923
481,2.5120785236358643
482,2.488107442855835
483,2.250364303588867
484,2.3359172344207764
485,2.3704168796539307
486,2.353242874145508
487,2.394603967666626
488,2.381932258605957
489,2.406985282897949
490,2.2889697551727295
491,2.3786556720733643
492,2.2383105754852295
493,2.4450571537017822
494,2.6413021087646484
495,2.639885425567627
496,2.3723809719085693
497,2.2691328525543213
498,2.385357618331909
499,2.326570749282837
500,2.4382407665252686
501,2.314234972000122
502,2.4403603076934814
503,2.4090282917022705
504,2.321321725845337
505,2.3768367767333984
506,2.4896624088287354
507,2.295435667037964
508,2.5460093021392822
509,2.407346725463867
510,2.387800931930542
511,2.4967539310455322
512,2.5833253860473633
513,2.425846815109253
514,2.478872537612915
515,2.3363935947418213
516,2.421968698501587
517,2.22656512260437
518,2.4123427867889404
519,2.4048244953155518
520,2.234487533569336
521,2.50993275642395
522,2.6058075428009033
523,2.360366106033325
524,2.334838390350342
525,2.3415634632110596
526,2.261162519454956
527,2.241631269454956
528,2.51493501663208
529,2.515174388885498
530,2.5065107345581055
531,2.264634370803833
532,2.3939311504364014
533,2.352152109146118
534,2.3926053047180176
535,2.4347684383392334
536,2.4801363945007324
537,2.529107093811035
538,2.31730580329895
539,2.419706344604492
540,2.472264289855957
541,2.3637659549713135
542,2.539835214614868
543,2.5571205615997314
544,2.329500675201416
545,2.358212471008301
546,2.6286253929138184
547,2.418006181716919
548,2.49690842628479
549,2.6832854747772217
550,2.3469133377075195
551,2.328648567199707
552,2.3162882328033447
553,2.500514507293701
554,2.464439630508423
555,2.28495717048645
556,2.4015464782714844
